scrape_city_id,scrape_city_name,oyo_id,name,city,address,rating,price,latitude,longitude
7,Jaipur,303185,Hotel O by OYO The Zenith Stay,,"plot No. 16 Opposite Balaji College, Ganesh Nagar, Sitawali Phatak, Benad Road, Jaipur, Jaipur",,,26.9905008,75.7444429
7,Jaipur,221447,Hotel O Bohra International ,,"PLOT NO 79, Barodia Scheme near Railway Station, Barodia Basti, Barodia Scheme, Gopalbari, Jaipur, Jaipur",,,26.9213293,75.7910137
7,Jaipur,46351,HOTEL O JAI AMBAY INTERNATIONAL,,"plot not 001 Shri Ram Marg, Barodia Scheme, Railway Station, Jaipur, India -, Jaipur",,,26.9216114,75.7910219
7,Jaipur,91610,Hotel Aana residency Agarwal Farm Mansarovar,,"Plot No. 40, Gayatri Nagar B, Maharani Farm, DurgapuraNear Maharani Farm, Jaipur",,,26.8507229,75.7784203
7,Jaipur,361802,Townhouse Civil Lines Jaipur Formerly Golden Hotel,,"Vashundhra Nagar II, Dehmi Khurd, Sanganer, Jaipur",,,26.8396389,75.5701111
7,Jaipur,223377,Hotel O Salasar Inn,,"AB 1 Natraj NagarAB 1 Natraj NagarSahakar Marg, Ganesh Colony, J P Colony Imli Wala Phatak, Jaipur",,,26.8874525,75.794379
7,Jaipur,164360, Hotel O Shiv Kalpana ,,"104/01, Sector 10 Road, Sanganer, Pratap Nagar, Jaipur, Rajasthan, Jaipur, Jaipur",,,26.80592,75.81284
7,Jaipur,201332,Hotel O RJ 14 RADHIKA HOTEL AND RESTAURANT,,"Govindpura kalwar road, Jotwara, Jaipur",,,26.9429593,75.6974472
7,Jaipur,105118,Townhouse The Grand,,"4th Floor, Hotel The Grand, Sunny Trade Center, Gangaram Nagar, New Aatish Market, Shanthi Nagar, Mansarovar, Jaipur",,,26.87665,75.76108
7,Jaipur,218644,OYO Hotel Umrao opp big tree cafe ajmer road 200ft by pass highway king,,"Plot no S12,  Ajmer Road,  Opp Big Tree Cafe Amar palace, Jaipur, Jaipur",,,26.88556293702748,75.72953852397193
7,Jaipur,197806,OYO 804719 The Lotus,,"Bahubali Nagar, Opp V T Road, Patrkar Colony Road, Mansarovar, Jaipur A-37, Bahubali Nagar, Opp V T Road, Patrkar Colony Road, Mansarovarnull, Jaipur",,,26.8555278,75.7578056
7,Jaipur,205509,Hotel O The Moody Moon Hotel,,"3rd Floor, Luv Krishna Heights Appt, Malviya Nagar, Jaipur",,,26.8497212,75.8209049
7,Jaipur,178559,Hotel O Jmd Hotel,,"Jagatpura, Jaipur Muncipal Corporation, Sanganer Tehsil, Jaipur",,,26.8363601040488,75.8318251557648
7,Jaipur,249135,Hotel O Blooming Beds Pearl,,"2/20 - C near Jayshree periwal pre school Surya Dev Marg, Sector 2, Malviya Nagar, Jaipur",,,26.8467908,75.8203583
7,Jaipur,358873,Hotel O Golden Eagle,," K NO 668 63 MANPUR DEVRI, GOLYAWAS, MANSAROVAR , SANGANER  , Jaipur, Jaipur",,,26.8462222,75.7399722
7,Jaipur,198553,"Hotel O Shivam Palace,",,"100/SP/73 Near Roadways depot Near Roadways Depot, Pratap Nagar, Sanganer, Tonk Road, Jaipur",,,26.7957014,75.8150649
7,Jaipur,361200,Hotel O Royal Elite,,"A888 near Terminal 2, Govind Vihar, Siddarth Nagar, Airport, Jaipur, Rajasthan, Jaipur",,,6.43141811299448,100.185117088258
7,Jaipur,77069,Hotel O Flora Enclave,,"lane no. 1, Behind Ramada, Jaipur",,,26.8958342876846,75.8274717628956
7,Jaipur,202886,Hotel O Elite Inn,,"A1/467 Chitrakoot  vaishali nagar, Jaipur",,,26.904762,75.738845
7,Jaipur,230902,Hotel O Chainbai Palace,," 11, Ram Nagar, Near Jeevan Raksha Hospital, Paldi Meena, Agra Road, Jaipur",,,3.166678,101.611909
7,Jaipur,243409,Hotel O Swastik Holidays,,"Bhrighu Nagar, Near Element Mall Ajmer Road, Vaishali Nagar, Jaipur",,,26.8951578,75.749544
